time,upstream_reservoir_water_level,upstream_reservoir_outflow,upstream_reservoir_volume,upstream_reservoir_inflow,gate_1_opening,gate_1_outflow,canal_1_water_level,canal_1_outflow,canal_2_water_level,canal_2_outflow,gate_2_opening,gate_2_outflow,canal_3_water_level,canal_3_outflow
0,9.980190911176937,19.809088823063014,99801.90911176938,0.0,0.5,19.769809880450698,5.197698098804507,19.769809880450698,4.697698098804507,19.769809880450698,0.5,7.399685587521789,4.059197484700174,7.399685587521789
10,9.960817474829325,19.373436347612376,99608.17474829326,0.0,0.5,19.334156527514402,5.3953961976090135,19.769809880450698,4.8953961976090135,19.769809880450698,0.5,8.100918157165006,4.118394969400349,7.399685587521789
20,9.941888812387509,18.928662441816908,99418.88812387509,0.0,0.5,18.889381684105395,5.59309429641352,19.769809880450698,5.09309429641352,19.769809880450698,0.5,8.746107887740335,4.177592454100523,7.399685587521789
30,9.923414684705433,18.474127682075782,99234.14684705433,0.0,0.5,18.434845919430664,5.790792395218027,19.769809880450698,5.290792395218027,19.769809880450698,0.5,9.34686746342868,4.2367899388006975,7.399685587521789
40,9.905405570421856,18.009114283577958,99054.05570421855,0.0,0.5,17.96983144022215,5.988490494022534,19.769809880450698,5.488490494022534,19.769809880450698,0.5,9.911279411549737,4.295987423500872,7.399685587521789
50,9.88787275846268,17.532811959175824,98878.7275846268,0.0,0.5,17.493527949309218,6.18618859282704,19.769809880450698,5.68618859282704,19.769809880450698,0.5,10.445237564015368,4.355184908201046,7.399685587521789
60,9.870828458145006,17.044300317674676,98708.28458145006,0.0,0.5,17.005015043514486,6.383886691631547,19.769809880450698,5.883886691631547,19.769809880450698,0.5,10.953196609375079,4.414382392901221,7.399685587521789
70,9.854285931438485,16.542526706521475,98542.85931438484,0.0,0.5,16.50324005582081,6.581584790436054,19.769809880450698,6.081584790436054,19.769809880450698,0.5,11.438620727978252,4.473579877601395,7.399685587521789
80,9.83825965346929,16.02627796919393,98382.5965346929,0.0,0.5,15.986989812058066,6.7792828892405606,19.769809880450698,6.2792828892405606,19.769809880450698,0.5,11.90426698093762,4.5327773623015695,7.399685587521789
90,9.82276550952854,15.494143940749701,98227.6550952854,0.0,0.5,15.454854125490822,6.976980988045067,19.769809880450698,6.476980988045067,19.769809880450698,0.5,12.352372263996488,4.591974847001744,7.399685587521789
