time,upstream_reservoir_water_level,upstream_reservoir_outflow,upstream_reservoir_volume,upstream_reservoir_inflow,gate_1_opening,gate_1_outflow,canal_1_water_level,canal_1_inflow,canal_1_outflow,gate_2_opening,gate_2_outflow,canal_2_water_level,canal_2_inflow,canal_2_outflow
0,10.0,19.809088823063014,0,0.0,0.5,19.809088823063014,5.19809088823063,19.809088823063014,0.0,0.5,7.401768228493773,4.574017682284937,7.401768228493773,0.0
10,10.0,19.412723330116776,0,0.0,0.5,19.412723330116776,5.392218121531798,19.412723330116776,0.0,0.5,8.013262161697543,4.654150303901913,8.013262161697543,0.0
20,10.0,19.016275182647746,0,0.0,0.5,19.016275182647746,5.582380873358275,19.016275182647746,0.0,0.5,8.535076747805805,4.739501071379971,8.535076747805805,0.0
30,10.0,18.619740842955967,0,0.0,0.5,18.619740842955967,5.768578281787835,18.619740842955967,0.0,0.5,8.986766908783666,4.829368740467808,8.986766908783666,0.0
40,10.0,18.223116540407975,0,0.0,0.5,18.223116540407975,5.950809447191914,18.223116540407975,0.0,0.5,9.381400037505484,4.923182740842862,9.381400037505484,0.0
50,10.0,17.826398250470525,0,0.0,0.5,17.826398250470525,6.12907342969662,17.826398250470525,0.0,0.5,9.728221896176242,5.020464959804625,9.728221896176242,0.0
60,10.0,17.4295816713256,0,0.0,0.5,17.4295816713256,6.303369246409876,17.4295816713256,0.0,0.5,10.034058421834112,5.120805544022966,10.034058421834112,0.0
70,10.0,17.03266219772332,0,0.0,0.5,17.03266219772332,6.473695868387109,17.03266219772332,0.0,0.5,10.304117267194602,5.223846716694912,10.304117267194602,0.0
80,10.0,16.635634891670943,0,0.0,0.5,16.635634891670943,6.640052217303818,16.635634891670943,0.0,0.5,10.542476354623089,5.329271480241143,10.542476354623089,0.0
90,10.0,16.238494449486268,0,0.0,0.5,16.238494449486268,6.802437161798681,16.238494449486268,0.0,0.5,10.752397067102555,5.436795450912169,10.752397067102555,0.0
100,10.0,15.841235164659336,0,0.0,0.5,15.841235164659336,6.960849513445274,15.841235164659336,0.0,0.5,10.936533400835849,5.546160784920527,10.936533400835849,0.0
110,10.0,15.443850885864409,0,0.0,0.5,15.443850885864409,7.115288022303918,15.443850885864409,0.0,0.5,11.097076443363294,5.65713154935416,11.097076443363294,0.0
120,10.0,15.046334969340158,0,0.0,0.5,15.046334969340158,7.26575137199732,15.046334969340158,0.0,0.5,11.235857051468535,5.769490119868846,11.235857051468535,0.0
130,10.0,14.648680224704558,0,0.0,0.5,14.648680224704558,7.412238174244365,14.648680224704558,0.0,0.5,11.354420606415404,5.883034325933,11.354420606415404,0.0
140,10.0,14.250878853084895,0,0.0,0.5,14.250878853084895,7.554746962775214,14.250878853084895,0.0,0.5,11.454082579559874,5.997575151728599,11.454082579559874,0.0
150,10.0,13.852922376213664,0,0.0,0.5,13.852922376213664,7.693276186537351,13.852922376213664,0.0,0.5,11.535970579530396,6.112934857523903,11.535970579530396,0.0
160,10.0,13.45480155485575,0,0.0,0.5,13.45480155485575,7.827824202085909,13.45480155485575,0.0,0.5,11.60105666571913,6.228945424181094,11.60105666571913,0.0
170,10.0,13.056506294575817,0,0.0,0.5,13.056506294575817,7.958389265031666,13.056506294575817,0.0,0.5,11.650182514877306,6.345447249329867,11.650182514877306,0.0
180,10.0,12.658025536406333,0,0.0,0.5,12.658025536406333,8.08496952039573,12.658025536406333,0.0,0.5,11.684079246275628,6.462288041792624,11.684079246275628,0.0
190,10.0,12.259347129408775,0,0.0,0.5,12.259347129408775,8.207562991689818,12.259347129408775,0.0,0.5,11.703383188972827,6.5793218736823516,11.703383188972827,0.0
200,10.0,11.860457681395905,0,0.0,0.5,11.860457681395905,8.326167568503777,11.860457681395905,0.0,0.5,11.708648518492025,6.696408358867272,11.708648518492025,0.0
210,10.0,11.461342383151441,0,0.0,0.5,11.461342383151441,8.440780992335291,11.461342383151441,0.0,0.5,11.700357442171166,6.813411933288983,11.700357442171166,0.0
220,10.0,11.061984800275507,0,0.0,0.5,11.061984800275507,8.551400840338047,11.061984800275507,0.0,0.5,11.678928436513795,6.930201217654122,11.678928436513795,0.0
230,10.0,10.662366625204278,0,0.0,0.5,10.662366625204278,8.65802450659009,10.662366625204278,0.0,0.5,11.644722912791648,7.046648446782038,11.644722912791648,0.0
240,10.0,10.262467379865805,0,0.0,0.5,10.262467379865805,8.760649180388748,10.262467379865805,0.0,0.5,11.598050593675413,7.1626289527187925,11.598050593675413,0.0
250,10.0,9.862264056650027,0,0.0,0.5,9.862264056650027,8.859271820955248,9.862264056650027,0.0,0.5,11.539173813544757,7.27802069085424,11.539173813544757,0.0
260,10.0,9.461730681615922,0,0.0,0.5,9.461730681615922,8.953889127771408,9.461730681615922,0.0,0.5,11.468310901316695,7.392703799867407,11.468310901316695,0.0
270,10.0,9.060837778732159,0,0.0,0.5,9.060837778732159,9.044497505558729,9.060837778732159,0.0,0.5,11.385638762171183,7.506560187489119,11.385638762171183,0.0
280,10.0,8.659551706858212,0,0.0,0.5,8.659551706858212,9.131093022627311,8.659551706858212,0.0,0.5,11.291294739827022,7.619473134887389,11.291294739827022,0.0
290,10.0,8.257833831230112,0,0.0,0.5,8.257833831230112,9.213671360939612,8.257833831230112,0.0,0.5,11.185377811257805,7.731326912999967,11.185377811257805,0.0
300,10.0,7.855639477054637,0,0.0,0.5,7.855639477054637,9.292227755710158,7.855639477054637,0.0,0.5,11.06794913865689,7.842006404386536,11.06794913865689,0.0
310,10.0,7.45291659230578,0,0.0,0.5,7.45291659230578,9.168666033402586,7.45291659230578,19.809088823063014,0.5,10.20373694707873,7.944043773857324,10.20373694707873,0.0
320,10.0,8.077319462455666,0,0.0,0.5,8.077319462455666,9.055311994725974,8.077319462455666,19.412723330116776,0.5,9.33875419816646,8.037431315838989,9.33875419816646,0.0
330,10.0,8.610407345410875,0,0.0,0.5,8.610407345410875,8.951253316353606,8.610407345410875,19.016275182647746,0.5,8.468574295617131,8.12211705879516,8.468574295617131,0.0
340,10.0,9.07224557276582,0,0.0,0.5,9.07224557276582,8.855778363651705,9.07224557276582,18.619740842955967,0.5,7.587999684049918,8.197997055635659,7.587999684049918,0.0
350,10.0,9.476207786905803,0,0.0,0.5,9.476207786905803,8.768309276116684,9.476207786905803,18.223116540407975,0.5,6.690149704106092,8.26489855267672,6.690149704106092,0.0
360,10.0,9.83173880909998,0,0.0,0.5,9.83173880909998,8.688362681702978,9.83173880909998,17.826398250470525,0.5,5.764847339347401,8.322547026070193,5.764847339347401,0.0
370,10.0,10.145801926903081,0,0.0,0.5,10.145801926903081,8.615524884258752,10.145801926903081,17.4295816713256,0.5,4.795091480945708,8.37049794087965,4.795091480945708,0.0
380,10.0,10.423704096115408,0,0.0,0.5,10.423704096115408,8.549435303242673,10.423704096115408,17.03266219772332,0.5,3.747399658196336,8.407971937461614,3.747399658196336,0.0
390,10.0,10.669597808798374,0,0.0,0.5,10.669597808798374,8.489774932413948,10.669597808798374,16.635634891670943,0.5,2.5337519696803668,8.433309457158417,2.5337519696803668,0.0
400,10.0,10.886802253377867,0,0.0,0.5,10.886802253377867,8.436258010452864,10.886802253377867,16.238494449486268,0.5,0.4810430984310797,8.438119888142728,0.4810430984310797,0.0
410,10.0,11.07801748236837,0,0.0,0.5,11.07801748236837,8.388625833629954,11.07801748236837,15.841235164659336,0.5,0.0,8.438119888142728,0.0,0.0
420,10.0,11.245472181136781,0,0.0,0.5,11.245472181136781,8.346642046582678,11.245472181136781,15.443850885864409,0.5,0.0,8.438119888142728,0.0,0.0
430,10.0,11.391028583240033,0,0.0,0.5,11.391028583240033,8.310088982721677,11.391028583240033,15.046334969340158,0.5,0.0,8.438119888142728,0.0,0.0
440,10.0,11.51625879511236,0,0.0,0.5,11.51625879511236,8.278764768425756,11.51625879511236,14.648680224704558,0.5,0.0,8.438119888142728,0.0,0.0
450,10.0,11.62250149382424,0,0.0,0.5,11.62250149382424,8.25248099483315,11.62250149382424,14.250878853084895,0.5,0.0,8.438119888142728,0.0,0.0
460,10.0,11.710904812417118,0,0.0,0.5,11.710904812417118,8.231060819195184,11.710904812417118,13.852922376213664,0.5,0.0,8.438119888142728,0.0,0.0
470,10.0,11.782459289535524,0,0.0,0.5,11.782459289535524,8.214337396541982,11.782459289535524,13.45480155485575,0.5,0.0,8.438119888142728,0.0,0.0
480,10.0,11.838023530952508,0,0.0,0.5,11.838023530952508,8.202152568905749,11.838023530952508,13.056506294575817,0.5,0.0,8.438119888142728,0.0,0.0
490,10.0,11.878344429771214,0,0.0,0.5,11.878344429771214,8.194355757839398,11.878344429771214,12.658025536406333,0.5,0.0,8.438119888142728,0.0,0.0
500,10.0,11.904073257703182,0,0.0,0.5,11.904073257703182,8.190803019122342,11.904073257703182,12.259347129408775,0.5,0.0,8.438119888142728,0.0,0.0
510,10.0,11.915778575455262,0,0.0,0.5,11.915778575455262,8.191356228062935,11.915778575455262,11.860457681395905,0.5,0.0,8.438119888142728,0.0,0.0
520,10.0,11.91395665686345,0,0.0,0.5,11.91395665686345,8.195882370800055,11.91395665686345,11.461342383151441,0.5,0.0,8.438119888142728,0.0,0.0
530,10.0,11.89903994192858,0,0.0,0.5,11.89903994192858,8.204252922216586,11.89903994192858,11.061984800275507,0.5,0.0,8.438119888142728,0.0,0.0
540,10.0,11.871403904527986,0,0.0,0.5,11.871403904527986,8.216343295009823,11.871403904527986,10.662366625204278,0.5,0.0,8.438119888142728,0.0,0.0
550,10.0,11.831372625677423,0,0.0,0.5,11.831372625677423,8.232032347467939,11.831372625677423,10.262467379865805,0.5,0.0,8.438119888142728,0.0,0.0
560,10.0,11.779223292336221,0,0.0,0.5,11.779223292336221,8.251201939824801,11.779223292336221,9.862264056650027,0.5,0.0,8.438119888142728,0.0,0.0
570,10.0,11.715189787730697,0,0.0,0.5,11.715189787730697,8.273736530885948,11.715189787730697,9.461730681615922,0.5,0.0,8.438119888142728,0.0,0.0
580,10.0,11.639465497009336,0,0.0,0.5,11.639465497009336,8.29952280806872,11.639465497009336,9.060837778732159,0.5,0.0,8.438119888142728,0.0,0.0
590,10.0,11.552205418134104,0,0.0,0.5,11.552205418134104,8.328449345181477,11.552205418134104,8.659551706858212,0.5,0.0,8.438119888142728,0.0,0.0
600,10.0,11.453527639559686,0,0.0,0.5,11.453527639559686,8.360406283264773,11.453527639559686,8.257833831230112,0.5,0.0,8.438119888142728,0.0,0.0
610,10.0,11.343514221324035,0,0.0,0.5,11.343514221324035,8.395285030707466,11.343514221324035,7.855639477054637,0.5,0.0,8.36410220585779,0.0,7.401768228493773
620,10.0,11.222211492842133,0,0.0,0.5,11.222211492842133,8.43297797971283,11.222211492842133,7.45291659230578,0.5,2.324945318097494,8.30721903742179,2.324945318097494,8.013262161697543
630,10.0,11.089629757216295,0,0.0,0.5,11.089629757216295,8.463101082660435,11.089629757216295,8.077319462455666,0.5,3.4976596332875007,8.256844866276607,3.4976596332875007,8.535076747805805
640,10.0,10.982523709640198,0,0.0,0.5,10.982523709640198,8.486822246302728,10.982523709640198,8.610407345410875,0.5,4.248367308090245,8.209460870269673,4.248367308090245,8.986766908783666
650,10.0,10.897439612595335,0,0.0,0.5,10.897439612595335,8.505074186701023,10.897439612595335,9.07224557276582,0.5,4.816610122641477,8.163812971121033,4.816610122641477,9.381400037505484
660,10.0,10.831517798891516,0,0.0,0.5,10.831517798891516,8.51862728682088,10.831517798891516,9.476207786905803,0.5,5.27691458109036,8.119299897970174,5.27691458109036,9.728221896176242
670,10.0,10.782306364145722,0,0.0,0.5,10.782306364145722,8.528132962371338,10.782306364145722,9.83173880909998,0.5,5.664381598568663,8.07560312973752,5.664381598568663,10.034058421834112
680,10.0,10.747656726612432,0,0.0,0.5,10.747656726612432,8.534151510368432,10.747656726612432,10.145801926903081,0.5,5.998906309646283,8.032551020162037,5.998906309646283,10.304117267194602
690,10.0,10.725660327750711,0,0.0,0.5,10.725660327750711,8.537171072684785,10.725660327750711,10.423704096115408,0.5,6.293058216955034,7.990056838785357,6.293058216955034,10.542476354623089
700,10.0,10.71460751570948,0,0.0,0.5,10.71460751570948,8.537621169753896,10.71460751570948,10.669597808798374,0.5,6.555367929751232,7.948086547411844,6.555367929751232,10.752397067102555
710,10.0,10.712959002895245,0,0.0,0.5,10.712959002895245,8.53588273724907,10.712959002895245,10.886802253377867,0.5,6.791924983274292,7.906640463236228,6.791924983274292,10.936533400835849
720,10.0,10.719324735294338,0,0.0,0.5,10.719324735294338,8.53229580977833,10.719324735294338,11.07801748236837,0.5,7.007241368514722,7.865742112487743,7.007241368514722,11.097076443363294
730,10.0,10.73244729074393,0,0.0,0.5,10.73244729074393,8.527165560874401,10.73244729074393,11.245472181136781,0.5,7.2047562227590305,7.825431104200647,7.2047562227590305,11.235857051468535
740,10.0,10.751188156784208,0,0.0,0.5,10.751188156784208,8.520767156609843,10.751188156784208,11.391028583240033,0.5,7.38714920609254,7.785758390197419,7.38714920609254,11.354420606415404
750,10.0,10.774515931087556,0,0.0,0.5,10.774515931087556,8.513349727969594,10.774515931087556,11.51625879511236,0.5,7.556544725491956,7.746783011656739,7.556544725491956,11.454082579559874
