time,real_reservoir.inflow,real_reservoir.outflow,real_reservoir.volume,real_reservoir.water_level,real_valve.discharge_coefficient,real_valve.opening,real_valve.outflow,twin_reservoir.inflow,twin_reservoir.outflow,twin_reservoir.volume,twin_reservoir.water_level,twin_valve.discharge_coefficient,twin_valve.opening,twin_valve.outflow
0.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,0.5160242931114274,0.34401619540761824,0.2,100.0,0.9839757068885726
1.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,1.0320485862228548,0.6880323908152365,0.2,100.0,0.9839757068885726
2.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,1.5480728793342822,1.0320485862228548,0.2,100.0,0.9839757068885726
3.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,2.0640971724457096,1.376064781630473,0.2,100.0,0.9839757068885726
4.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,2.580121465557137,1.7200809770380912,0.2,100.0,0.9839757068885726
5.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,3.0961457586685643,2.0640971724457096,0.2,100.0,0.9839757068885726
6.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,3.6121700517799917,2.4081133678533275,0.2,100.0,0.9839757068885726
7.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,4.128194344891419,2.752129563260946,0.2,100.0,0.9839757068885726
8.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,4.6442186380028465,3.0961457586685643,0.2,100.0,0.9839757068885726
9.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,5.160242931114274,3.4401619540761823,0.2,100.0,0.9839757068885726
10.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,5.676267224225701,3.7841781494838007,0.2,100.0,0.9839757068885726
11.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,6.192291517337129,4.128194344891419,0.2,100.0,0.9839757068885726
12.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,6.708315810448556,4.472210540299037,0.2,100.0,0.9839757068885726
13.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,7.2243401035599835,4.816226735706655,0.2,100.0,0.9839757068885726
14.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,7.740364396671411,5.160242931114274,0.2,100.0,0.9839757068885726
15.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,8.256388689782838,5.504259126521892,0.2,100.0,0.9839757068885726
16.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,8.772412982894267,5.848275321929511,0.2,100.0,0.9839757068885726
17.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,9.288437276005695,6.19229151733713,0.2,100.0,0.9839757068885726
18.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,9.804461569117123,6.536307712744748,0.2,100.0,0.9839757068885726
19.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,10.320485862228551,6.880323908152367,0.2,100.0,0.9839757068885726
20.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,10.83651015533998,7.224340103559986,0.2,100.0,0.9839757068885726
21.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,11.352534448451408,7.568356298967605,0.2,100.0,0.9839757068885726
22.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,11.868558741562836,7.912372494375224,0.2,100.0,0.9839757068885726
23.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,12.384583034674264,8.256388689782842,0.2,100.0,0.9839757068885726
24.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,12.900607327785693,8.60040488519046,0.2,100.0,0.9839757068885726
25.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,13.416631620897121,8.94442108059808,0.2,100.0,0.9839757068885726
26.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,13.93265591400855,9.288437276005698,0.2,100.0,0.9839757068885726
27.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,14.448680207119978,9.632453471413317,0.2,100.0,0.9839757068885726
28.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,14.964704500231406,9.976469666820936,0.2,100.0,0.9839757068885726
29.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,15.480728793342834,10.0,0.2,100.0,0.9839757068885726
30.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,15.996753086454262,10.0,0.2,100.0,0.9839757068885726
31.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,16.51277737956569,10.0,0.2,100.0,0.9839757068885726
32.0,1.5,3.9359028275542904,0,0.0,0.8,100.0,3.9359028275542904,1.5,0.9839757068885726,17.02880167267712,10.0,0.2,100.0,0.9839757068885726
